"Track_ID","Standard_ID","Standard_Time"
"25","23","205.00"
"25","24","208.00"
"25","25","211.00"
"25","26","214.00"
"25","27","217.00"
"25","28","220.00"
"25","29","227.50"
"25","30","235.00"
"25","31","242.50"
"25","32","250.00"
"25","33","999.99"
"26","-4","48.00"
"26","-3","48.12"
"26","-2","48.25"
"26","-1","48.37"
"26","0","48.50"
"26","1","48.65"
"26","2","48.80"
"26","3","48.95"
"26","4","49.10"
"26","5","49.45"
"26","6","49.80"
"26","7","50.15"
"26","8","50.50"
"26","9","51.50"
"26","10","52.50"
"26","11","53.50"
"26","12","58.50"
"26","13","59.25"
"26","14","60.00"
"26","15","60.75"
"26","16","61.50"
"26","17","62.12"
"26","18","62.75"
"26","19","63.37"
"26","20","64.00"
"26","21","65.00"
"26","22","66.00"
"26","23","67.00"
"26","24","68.00"
"26","25","69.00"
"26","26","70.00"
"26","27","71.00"
"26","28","72.00"
"26","29","74.50"
"26","30","77.00"
"26","31","79.50"
"26","32","82.00"
"26","33","999.99"
"27","-4","99.00"
"27","-3","100.00"
"27","-2","101.00"
"27","-1","102.00"
"27","0","103.00"
"27","1","104.00"
"27","2","105.00"
"27","3","106.00"
"27","4","107.00"
"27","5","108.50"
"27","6","110.00"
"27","7","111.50"
"27","8","113.00"
"27","9","115.25"
"27","10","117.50"
"27","11","119.75"
"27","12","122.00"
"27","13","125.00"
"27","14","128.00"
"27","15","131.00"
"27","16","134.00"
"27","17","138.50"
"27","18","143.00"
"27","19","147.50"
"27","20","152.00"
"27","21","156.00"
"27","22","160.00"
"27","23","164.00"
"27","24","168.00"
"27","25","172.75"
"27","26","177.50"
"27","27","182.25"
"27","28","187.00"
"27","29","196.50"
"27","30","206.00"
"27","31","215.50"
"27","32","225.00"
"27","33","999.99"
"28","-4","22.60"
"28","-3","22.70"
"28","-2","22.80"
"28","-1","22.90"
"28","0","23.00"
"28","1","23.25"
"28","2","23.50"
"28","3","23.75"
"28","4","24.00"
"28","5","30.00"
"28","6","30.50"
"28","7","32.50"
"28","8","32.75"
"28","9","33.00"
"28","10","33.50"
"28","11","34.00"
"28","12","34.50"
"28","13","38.00"
"28","14","39.00"
"28","15","40.00"
"28","16","42.00"
"28","17","43.50"
"28","18","45.00"
"28","19","46.50"
"28","20","48.00"
"28","21","49.25"
"28","22","50.50"
"28","23","51.75"
"28","24","53.00"
"28","25","54.50"
"28","26","56.00"
"28","27","57.50"
"28","28","59.00"
"28","29","62.50"
"28","30","66.00"
"28","31","69.50"
"28","32","73.00"
"28","33","999.99"
"29","-4","125.50"
"29","-3","125.65"
"29","-2","125.80"
"29","-1","125.95"
"29","0","126.10"
"29","1","126.32"
"29","2","126.55"
"29","3","126.77"
"29","4","127.00"
"29","5","127.37"
"29","6","127.75"
"29","7","128.12"
"29","8","128.50"
"29","9","128.87"
"29","10","129.25"
"29","11","129.62"
"29","12","130.00"
"29","13","130.75"
"29","14","131.50"
"29","15","132.25"
"29","16","133.00"
"29","17","134.25"
"29","18","135.50"
"29","19","136.75"
"29","20","138.00"
"29","21","141.00"
"29","22","144.00"
"29","23","147.00"
"29","24","150.00"
"29","25","153.00"
"29","26","156.00"
"29","27","159.00"
"29","28","162.00"
"29","29","169.00"
"29","30","176.00"
"29","31","183.00"
"29","32","190.00"
"29","33","999.99"
"30","-4","40.10"
"30","-3","40.17"
"30","-2","40.25"
"30","-1","40.32"
"30","0","40.40"
"30","1","40.50"
"30","2","40.60"
"30","3","40.70"
"30","4","40.80"
"30","5","40.95"
"30","6","41.10"
"30","7","41.25"
"30","8","41.40"
"30","9","41.55"
"30","10","41.70"
"30","11","41.85"
"30","12","42.00"
"30","13","42.25"
"30","14","42.50"
"30","15","42.75"
"30","16","43.00"
"30","17","43.50"
"30","18","44.00"
"30","19","44.50"
"30","20","45.00"
"30","21","45.75"
"30","22","46.50"
"30","23","47.25"
"30","24","48.00"
"30","25","49.25"
"30","26","50.50"
"30","27","51.75"
"30","28","53.00"
"30","29","55.25"
"30","30","57.50"
"30","31","59.75"
"30","32","62.00"
"30","33","999.99"
"31","-4","112.00"
"31","-3","112.30"
"31","-2","112.60"
"31","-1","112.90"
"31","0","113.20"
"31","1","113.65"
"31","2","114.10"
"31","3","114.55"
"31","4","115.00"
"31","5","116.00"
"31","6","117.00"
"31","7","118.00"
"31","8","119.00"
"31","9","120.25"
"31","10","121.50"
"31","11","122.75"
"31","12","124.00"
"31","13","128.00"
"31","14","132.00"
"31","15","136.00"
"31","16","140.00"
"31","17","144.00"
"31","18","148.00"
"31","19","152.00"
"31","20","156.00"
"31","21","159.50"
"31","22","163.00"
"31","23","166.50"
"31","24","170.00"
"31","25","179.00"
"31","26","188.00"
"31","27","197.00"
"31","28","206.00"
